"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GGDEBT","TOT","PC_GDP","A","2016",52.60029,
"DNK","GGDEBT","TOT","PC_GDP","A","2017",49.95662,
"FIN","GGDEBT","TOT","PC_GDP","A","2000",51.01093,
"FIN","GGDEBT","TOT","PC_GDP","A","2001",48.40519,
"FIN","GGDEBT","TOT","PC_GDP","A","2002",48.23621,
"FIN","GGDEBT","TOT","PC_GDP","A","2003",49.1941,
"FIN","GGDEBT","TOT","PC_GDP","A","2004",49.39707,
"FIN","GGDEBT","TOT","PC_GDP","A","2005",46.53166,
"FIN","GGDEBT","TOT","PC_GDP","A","2006",43.08167,
"FIN","GGDEBT","TOT","PC_GDP","A","2007",39.09392,
"FIN","GGDEBT","TOT","PC_GDP","A","2008",38.27919,
"FIN","GGDEBT","TOT","PC_GDP","A","2009",49.23079,
"FIN","GGDEBT","TOT","PC_GDP","A","2010",55.06467,
"FIN","GGDEBT","TOT","PC_GDP","A","2011",57.52048,
"FIN","GGDEBT","TOT","PC_GDP","A","2012",64.33859,
"FIN","GGDEBT","TOT","PC_GDP","A","2013",64.77638,
"FIN","GGDEBT","TOT","PC_GDP","A","2014",71.6879,
"FIN","GGDEBT","TOT","PC_GDP","A","2015",75.18225,
"FIN","GGDEBT","TOT","PC_GDP","A","2016",75.44318,
"FIN","GGDEBT","TOT","PC_GDP","A","2017",73.25,
"FRA","GGDEBT","TOT","PC_GDP","A","2000",72.42918,
"FRA","GGDEBT","TOT","PC_GDP","A","2001",71.47308,
"FRA","GGDEBT","TOT","PC_GDP","A","2002",75.16156,
"FRA","GGDEBT","TOT","PC_GDP","A","2003",79.07757,
"FRA","GGDEBT","TOT","PC_GDP","A","2004",80.54945,
"FRA","GGDEBT","TOT","PC_GDP","A","2005",82.14224,
"FRA","GGDEBT","TOT","PC_GDP","A","2006",77.26933,
"FRA","GGDEBT","TOT","PC_GDP","A","2007",75.94181,
"FRA","GGDEBT","TOT","PC_GDP","A","2008",82.50349,
"FRA","GGDEBT","TOT","PC_GDP","A","2009",97.5731,
"FRA","GGDEBT","TOT","PC_GDP","A","2010",100.9953,
"FRA","GGDEBT","TOT","PC_GDP","A","2011",103.8066,
"FRA","GGDEBT","TOT","PC_GDP","A","2012",111.9382,
"FRA","GGDEBT","TOT","PC_GDP","A","2013",112.4676,
"FRA","GGDEBT","TOT","PC_GDP","A","2014",120.1551,
"FRA","GGDEBT","TOT","PC_GDP","A","2015",120.8252,
"FRA","GGDEBT","TOT","PC_GDP","A","2016",125.4641,
"FRA","GGDEBT","TOT","PC_GDP","A","2017",124.2471,
"DEU","GGDEBT","TOT","PC_GDP","A","2000",59.51911,
"DEU","GGDEBT","TOT","PC_GDP","A","2001",58.75711,
"DEU","GGDEBT","TOT","PC_GDP","A","2002",61.20459,
"DEU","GGDEBT","TOT","PC_GDP","A","2003",64.5843,
"DEU","GGDEBT","TOT","PC_GDP","A","2004",67.53011,
"DEU","GGDEBT","TOT","PC_GDP","A","2005",70.06332,
"DEU","GGDEBT","TOT","PC_GDP","A","2006",68.25689,
"DEU","GGDEBT","TOT","PC_GDP","A","2007",64.18327,
"DEU","GGDEBT","TOT","PC_GDP","A","2008",68.08314,
"DEU","GGDEBT","TOT","PC_GDP","A","2009",75.47145,
"DEU","GGDEBT","TOT","PC_GDP","A","2010",84.45005,
"DEU","GGDEBT","TOT","PC_GDP","A","2011",84.18228,
"DEU","GGDEBT","TOT","PC_GDP","A","2012",88.10569,
"DEU","GGDEBT","TOT","PC_GDP","A","2013",83.27205,
"DEU","GGDEBT","TOT","PC_GDP","A","2014",83.34541,
"DEU","GGDEBT","TOT","PC_GDP","A","2015",78.96413,
"DEU","GGDEBT","TOT","PC_GDP","A","2016",76.01376,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",71.52236,
"GRC","GGDEBT","TOT","PC_GDP","A","2000",111.6979,
"GRC","GGDEBT","TOT","PC_GDP","A","2001",115.2994,
"GRC","GGDEBT","TOT","PC_GDP","A","2002",116.6336,
"GRC","GGDEBT","TOT","PC_GDP","A","2003",109.8932,
"GRC","GGDEBT","TOT","PC_GDP","A","2004",114.3387,
"GRC","GGDEBT","TOT","PC_GDP","A","2005",115.8159,
"GRC","GGDEBT","TOT","PC_GDP","A","2006",115.2277,
"GRC","GGDEBT","TOT","PC_GDP","A","2007",112.7846,
"GRC","GGDEBT","TOT","PC_GDP","A","2008",117.449,
"GRC","GGDEBT","TOT","PC_GDP","A","2009",135.0054,
"GRC","GGDEBT","TOT","PC_GDP","A","2010",128.9748,
"GRC","GGDEBT","TOT","PC_GDP","A","2011",110.907,
"GRC","GGDEBT","TOT","PC_GDP","A","2012",164.1071,
"GRC","GGDEBT","TOT","PC_GDP","A","2013",179.6891,
"GRC","GGDEBT","TOT","PC_GDP","A","2014",180.8163,
"GRC","GGDEBT","TOT","PC_GDP","A","2015",182.9426,
"GRC","GGDEBT","TOT","PC_GDP","A","2016",185.7925,
"GRC","GGDEBT","TOT","PC_GDP","A","2017",188.7342,
"HUN","GGDEBT","TOT","PC_GDP","A","2000",60.52811,
"HUN","GGDEBT","TOT","PC_GDP","A","2001",58.49344,
"HUN","GGDEBT","TOT","PC_GDP","A","2002",59.52792,
"HUN","GGDEBT","TOT","PC_GDP","A","2003",60.21578,
"HUN","GGDEBT","TOT","PC_GDP","A","2004",63.60974,
"HUN","GGDEBT","TOT","PC_GDP","A","2005",66.69791,
"HUN","GGDEBT","TOT","PC_GDP","A","2006",70.26191,
"HUN","GGDEBT","TOT","PC_GDP","A","2007",70.92673,
"HUN","GGDEBT","TOT","PC_GDP","A","2008",74.51356,
"HUN","GGDEBT","TOT","PC_GDP","A","2009",83.44037,
"HUN","GGDEBT","TOT","PC_GDP","A","2010",85.27269,
"HUN","GGDEBT","TOT","PC_GDP","A","2011",94.21516,
"HUN","GGDEBT","TOT","PC_GDP","A","2012",97.3067,
"HUN","GGDEBT","TOT","PC_GDP","A","2013",95.30315,
"HUN","GGDEBT","TOT","PC_GDP","A","2014",98.58357,
"HUN","GGDEBT","TOT","PC_GDP","A","2015",97.27596,
"HUN","GGDEBT","TOT","PC_GDP","A","2016",97.13194,
"HUN","GGDEBT","TOT","PC_GDP","A","2017",91.38217,
"IRL","GGDEBT","TOT","PC_GDP","A","2000",38.71733,
"IRL","GGDEBT","TOT","PC_GDP","A","2001",35.54811,
"IRL","GGDEBT","TOT","PC_GDP","A","2002",34.04624,
"IRL","GGDEBT","TOT","PC_GDP","A","2003",32.84788,
"IRL","GGDEBT","TOT","PC_GDP","A","2004",31.51454,
"IRL","GGDEBT","TOT","PC_GDP","A","2005",31.32907,
"IRL","GGDEBT","TOT","PC_GDP","A","2006",27.64148,
"IRL","GGDEBT","TOT","PC_GDP","A","2007",27.4556,
"IRL","GGDEBT","TOT","PC_GDP","A","2008",47.47161,
"IRL","GGDEBT","TOT","PC_GDP","A","2009",67.5424,
"IRL","GGDEBT","TOT","PC_GDP","A","2010",83.4975,
"IRL","GGDEBT","TOT","PC_GDP","A","2011",111.456,
"IRL","GGDEBT","TOT","PC_GDP","A","2012",129.3562,
"IRL","GGDEBT","TOT","PC_GDP","A","2013",131.7296,
"IRL","GGDEBT","TOT","PC_GDP","A","2014",121.198,
"IRL","GGDEBT","TOT","PC_GDP","A","2015",88.51808,
"IRL","GGDEBT","TOT","PC_GDP","A","2016",84.13502,
"IRL","GGDEBT","TOT","PC_GDP","A","2017",77.23739,
"ITA","GGDEBT","TOT","PC_GDP","A","2000",118.9894,
"ITA","GGDEBT","TOT","PC_GDP","A","2001",118.1363,
"ITA","GGDEBT","TOT","PC_GDP","A","2002",116.9578,
"ITA","GGDEBT","TOT","PC_GDP","A","2003",114.2859,
"ITA","GGDEBT","TOT","PC_GDP","A","2004",114.6943,
"ITA","GGDEBT","TOT","PC_GDP","A","2005",117.4323,
"ITA","GGDEBT","TOT","PC_GDP","A","2006",115.0135,
"ITA","GGDEBT","TOT","PC_GDP","A","2007",110.6964,
"ITA","GGDEBT","TOT","PC_GDP","A","2008",112.9941,
"ITA","GGDEBT","TOT","PC_GDP","A","2009",125.9787,
"ITA","GGDEBT","TOT","PC_GDP","A","2010",124.8795,
"ITA","GGDEBT","TOT","PC_GDP","A","2011",117.9357,
"ITA","GGDEBT","TOT","PC_GDP","A","2012",136.2351,
"ITA","GGDEBT","TOT","PC_GDP","A","2013",143.6861,
"ITA","GGDEBT","TOT","PC_GDP","A","2014",156.0584,
"ITA","GGDEBT","TOT","PC_GDP","A","2015",157.0335,
"ITA","GGDEBT","TOT","PC_GDP","A","2016",154.9009,
"ITA","GGDEBT","TOT","PC_GDP","A","2017",152.6121,
"LUX","GGDEBT","TOT","PC_GDP","A","2000",15.75577,
"LUX","GGDEBT","TOT","PC_GDP","A","2001",16.15309,
"LUX","GGDEBT","TOT","PC_GDP","A","2002",16.21593,
"LUX","GGDEBT","TOT","PC_GDP","A","2003",17.55165,
"LUX","GGDEBT","TOT","PC_GDP","A","2004",18.46652,
"LUX","GGDEBT","TOT","PC_GDP","A","2005",17.1373,
"LUX","GGDEBT","TOT","PC_GDP","A","2006",16.14673,
"LUX","GGDEBT","TOT","PC_GDP","A","2007",15.83983,
"LUX","GGDEBT","TOT","PC_GDP","A","2008",24.42677,
"LUX","GGDEBT","TOT","PC_GDP","A","2009",21.9826,
"LUX","GGDEBT","TOT","PC_GDP","A","2010",27.02489,
"LUX","GGDEBT","TOT","PC_GDP","A","2011",26.55407,
"LUX","GGDEBT","TOT","PC_GDP","A","2012",28.32328,
"LUX","GGDEBT","TOT","PC_GDP","A","2013",28.93741,
"LUX","GGDEBT","TOT","PC_GDP","A","2014",29.45534,
"LUX","GGDEBT","TOT","PC_GDP","A","2015",29.43433,
"LUX","GGDEBT","TOT","PC_GDP","A","2016",27.73762,
"NLD","GGDEBT","TOT","PC_GDP","A","2000",61.13335,
"NLD","GGDEBT","TOT","PC_GDP","A","2001",57.117,
"NLD","GGDEBT","TOT","PC_GDP","A","2002",57.63334,
"NLD","GGDEBT","TOT","PC_GDP","A","2003",58.83407,
"NLD","GGDEBT","TOT","PC_GDP","A","2004",59.05994,
"NLD","GGDEBT","TOT","PC_GDP","A","2005",58.36666,
"NLD","GGDEBT","TOT","PC_GDP","A","2006",52.21591,
"NLD","GGDEBT","TOT","PC_GDP","A","2007",49.44199,
"NLD","GGDEBT","TOT","PC_GDP","A","2008",62.0243,
"NLD","GGDEBT","TOT","PC_GDP","A","2009",64.65042,
"NLD","GGDEBT","TOT","PC_GDP","A","2010",68.76204,
"NLD","GGDEBT","TOT","PC_GDP","A","2011",73.00937,
"NLD","GGDEBT","TOT","PC_GDP","A","2012",78.69337,
"NLD","GGDEBT","TOT","PC_GDP","A","2013",78.16426,
"NLD","GGDEBT","TOT","PC_GDP","A","2014",82.59902,
"NLD","GGDEBT","TOT","PC_GDP","A","2015",78.76749,
"NLD","GGDEBT","TOT","PC_GDP","A","2016",76.73621,
"NLD","GGDEBT","TOT","PC_GDP","A","2017",69.95053,
"POL","GGDEBT","TOT","PC_GDP","A","2000",45.01677,
"POL","GGDEBT","TOT","PC_GDP","A","2001",43.72948,
"POL","GGDEBT","TOT","PC_GDP","A","2002",53.27235,
"POL","GGDEBT","TOT","PC_GDP","A","2003",55.50672,
"POL","GGDEBT","TOT","PC_GDP","A","2004",53.10462,
"POL","GGDEBT","TOT","PC_GDP","A","2005",54.69091,
"POL","GGDEBT","TOT","PC_GDP","A","2006",54.42035,
"POL","GGDEBT","TOT","PC_GDP","A","2007",51.06319,
"POL","GGDEBT","TOT","PC_GDP","A","2008",53.35693,
"POL","GGDEBT","TOT","PC_GDP","A","2009",56.73477,
"POL","GGDEBT","TOT","PC_GDP","A","2010",61.05294,
"POL","GGDEBT","TOT","PC_GDP","A","2011",61.21319,
"POL","GGDEBT","TOT","PC_GDP","A","2012",64.38701,
"POL","GGDEBT","TOT","PC_GDP","A","2013",64.98855,
"POL","GGDEBT","TOT","PC_GDP","A","2014",70.53289,
"POL","GGDEBT","TOT","PC_GDP","A","2015",69.84199,
"POL","GGDEBT","TOT","PC_GDP","A","2016",72.48204,
"POL","GGDEBT","TOT","PC_GDP","A","2017",68.15943,
"PRT","GGDEBT","TOT","PC_GDP","A","2000",62.01825,
"PRT","GGDEBT","TOT","PC_GDP","A","2001",63.45905,
"PRT","GGDEBT","TOT","PC_GDP","A","2002",66.81219,
"PRT","GGDEBT","TOT","PC_GDP","A","2003",70.61915,
"PRT","GGDEBT","TOT","PC_GDP","A","2004",76.65156,
"PRT","GGDEBT","TOT","PC_GDP","A","2005",79.97653,
"PRT","GGDEBT","TOT","PC_GDP","A","2006",79.40868,
"PRT","GGDEBT","TOT","PC_GDP","A","2007",78.10067,
"PRT","GGDEBT","TOT","PC_GDP","A","2008",82.76154,
"PRT","GGDEBT","TOT","PC_GDP","A","2009",96.11205,
"PRT","GGDEBT","TOT","PC_GDP","A","2010",104.0708,
"PRT","GGDEBT","TOT","PC_GDP","A","2011",107.8454,
"PRT","GGDEBT","TOT","PC_GDP","A","2012",137.1043,
"PRT","GGDEBT","TOT","PC_GDP","A","2013",141.4286,
"PRT","GGDEBT","TOT","PC_GDP","A","2014",151.4001,
"PRT","GGDEBT","TOT","PC_GDP","A","2015",149.1519,
"PRT","GGDEBT","TOT","PC_GDP","A","2016",145.3244,
"PRT","GGDEBT","TOT","PC_GDP","A","2017",145.3845,
"SVK","GGDEBT","TOT","PC_GDP","A","2000",57.8646,
"SVK","GGDEBT","TOT","PC_GDP","A","2001",56.57265,
"SVK","GGDEBT","TOT","PC_GDP","A","2002",49.35629,
"SVK","GGDEBT","TOT","PC_GDP","A","2003",47.50673,
"SVK","GGDEBT","TOT","PC_GDP","A","2004",45.11853,
"SVK","GGDEBT","TOT","PC_GDP","A","2005",38.37193,
"SVK","GGDEBT","TOT","PC_GDP","A","2006",36.21275,
"SVK","GGDEBT","TOT","PC_GDP","A","2007",34.79276,
"SVK","GGDEBT","TOT","PC_GDP","A","2008",33.79035,
"SVK","GGDEBT","TOT","PC_GDP","A","2009",42.46273,
"SVK","GGDEBT","TOT","PC_GDP","A","2010",47.38543,
"SVK","GGDEBT","TOT","PC_GDP","A","2011",49.95049,
"SVK","GGDEBT","TOT","PC_GDP","A","2012",58.30268,
"SVK","GGDEBT","TOT","PC_GDP","A","2013",61.15774,
"SVK","GGDEBT","TOT","PC_GDP","A","2014",60.43003,
"SVK","GGDEBT","TOT","PC_GDP","A","2015",59.67639,
"SVK","GGDEBT","TOT","PC_GDP","A","2016",59.76851,
"SVK","GGDEBT","TOT","PC_GDP","A","2017",58.23939,
"ESP","GGDEBT","TOT","PC_GDP","A","2000",65.16534,
"ESP","GGDEBT","TOT","PC_GDP","A","2001",60.56855,
"ESP","GGDEBT","TOT","PC_GDP","A","2002",59.25278,
"ESP","GGDEBT","TOT","PC_GDP","A","2003",54.41895,
"ESP","GGDEBT","TOT","PC_GDP","A","2004",52.51329,
"ESP","GGDEBT","TOT","PC_GDP","A","2005",49.98066,
"ESP","GGDEBT","TOT","PC_GDP","A","2006",45.68213,
"ESP","GGDEBT","TOT","PC_GDP","A","2007",41.80709,
"ESP","GGDEBT","TOT","PC_GDP","A","2008",47.20715,
"ESP","GGDEBT","TOT","PC_GDP","A","2009",61.80851,
"ESP","GGDEBT","TOT","PC_GDP","A","2010",66.5645,
"ESP","GGDEBT","TOT","PC_GDP","A","2011",77.68712,
"ESP","GGDEBT","TOT","PC_GDP","A","2012",92.52627,
"ESP","GGDEBT","TOT","PC_GDP","A","2013",105.7336,
"ESP","GGDEBT","TOT","PC_GDP","A","2014",118.4061,
"ESP","GGDEBT","TOT","PC_GDP","A","2015",116.3134,
"ESP","GGDEBT","TOT","PC_GDP","A","2016",116.5159,
"ESP","GGDEBT","TOT","PC_GDP","A","2017",114.6604,
"SWE","GGDEBT","TOT","PC_GDP","A","2000",63.03971,
"SWE","GGDEBT","TOT","PC_GDP","A","2001",64.61673,
"SWE","GGDEBT","TOT","PC_GDP","A","2002",64.74509,
"SWE","GGDEBT","TOT","PC_GDP","A","2003",63.75093,
"SWE","GGDEBT","TOT","PC_GDP","A","2004",63.25794,
"SWE","GGDEBT","TOT","PC_GDP","A","2005",64.14876,
"SWE","GGDEBT","TOT","PC_GDP","A","2006",58.04365,
"SWE","GGDEBT","TOT","PC_GDP","A","2007",52.54195,
"SWE","GGDEBT","TOT","PC_GDP","A","2008",51.36904,
"SWE","GGDEBT","TOT","PC_GDP","A","2009",55.21519,
"SWE","GGDEBT","TOT","PC_GDP","A","2010",52.5898,
"SWE","GGDEBT","TOT","PC_GDP","A","2011",53.28085,
"SWE","GGDEBT","TOT","PC_GDP","A","2012",54.39933,
"SWE","GGDEBT","TOT","PC_GDP","A","2013",57.15312,
"SWE","GGDEBT","TOT","PC_GDP","A","2014",63.4042,
"SWE","GGDEBT","TOT","PC_GDP","A","2015",61.56124,
"SWE","GGDEBT","TOT","PC_GDP","A","2016",60.33341,
"SWE","GGDEBT","TOT","PC_GDP","A","2017",57.94764,
"GBR","GGDEBT","TOT","PC_GDP","A","2000",44.90339,
"GBR","GGDEBT","TOT","PC_GDP","A","2001",42.47589,
"GBR","GGDEBT","TOT","PC_GDP","A","2002",45.4344,
"GBR","GGDEBT","TOT","PC_GDP","A","2003",45.00502,
"GBR","GGDEBT","TOT","PC_GDP","A","2004",48.46213,
"GBR","GGDEBT","TOT","PC_GDP","A","2005",48.75006,
"GBR","GGDEBT","TOT","PC_GDP","A","2006",47.83198,
"GBR","GGDEBT","TOT","PC_GDP","A","2007",49.66492,
"GBR","GGDEBT","TOT","PC_GDP","A","2008",62.26696,
"GBR","GGDEBT","TOT","PC_GDP","A","2009",75.45988,
"GBR","GGDEBT","TOT","PC_GDP","A","2010",86.56003,
"GBR","GGDEBT","TOT","PC_GDP","A","2011",100.3075,
"GBR","GGDEBT","TOT","PC_GDP","A","2012",104.1123,
"GBR","GGDEBT","TOT","PC_GDP","A","2013",99.9242,
"GBR","GGDEBT","TOT","PC_GDP","A","2014",109.9197,
"GBR","GGDEBT","TOT","PC_GDP","A","2015",109.4453,
"GBR","GGDEBT","TOT","PC_GDP","A","2016",119.3808,
"GBR","GGDEBT","TOT","PC_GDP","A","2017",116.9095,
"EST","GGDEBT","TOT","PC_GDP","A","2000",6.798178,
"EST","GGDEBT","TOT","PC_GDP","A","2001",6.663927,
"EST","GGDEBT","TOT","PC_GDP","A","2002",7.585697,
"EST","GGDEBT","TOT","PC_GDP","A","2003",8.390291,
"EST","GGDEBT","TOT","PC_GDP","A","2004",8.626181,
"EST","GGDEBT","TOT","PC_GDP","A","2005",8.159082,
"EST","GGDEBT","TOT","PC_GDP","A","2006",8.005647,
"EST","GGDEBT","TOT","PC_GDP","A","2007",7.247145,
"EST","GGDEBT","TOT","PC_GDP","A","2008",8.406958,
"EST","GGDEBT","TOT","PC_GDP","A","2009",12.74365,
"EST","GGDEBT","TOT","PC_GDP","A","2010",11.93488,
"EST","GGDEBT","TOT","PC_GDP","A","2011",9.538247,
"EST","GGDEBT","TOT","PC_GDP","A","2012",13.15369,
"EST","GGDEBT","TOT","PC_GDP","A","2013",13.62277,
"EST","GGDEBT","TOT","PC_GDP","A","2014",13.85112,
"EST","GGDEBT","TOT","PC_GDP","A","2015",12.75324,
"EST","GGDEBT","TOT","PC_GDP","A","2016",12.73184,
"EST","GGDEBT","TOT","PC_GDP","A","2017",12.55383,
"SVN","GGDEBT","TOT","PC_GDP","A","2000",37.07549,
"SVN","GGDEBT","TOT","PC_GDP","A","2001",37.12624,
"SVN","GGDEBT","TOT","PC_GDP","A","2002",37.77333,
"SVN","GGDEBT","TOT","PC_GDP","A","2003",36.7001,
"SVN","GGDEBT","TOT","PC_GDP","A","2004",37.06541,
"SVN","GGDEBT","TOT","PC_GDP","A","2005",35.23845,
"SVN","GGDEBT","TOT","PC_GDP","A","2006",34.97343,
"SVN","GGDEBT","TOT","PC_GDP","A","2007",30.06322,
"SVN","GGDEBT","TOT","PC_GDP","A","2008",29.68813,
"SVN","GGDEBT","TOT","PC_GDP","A","2009",43.7342,
"SVN","GGDEBT","TOT","PC_GDP","A","2010",47.83955,
"SVN","GGDEBT","TOT","PC_GDP","A","2011",51.41437,
"SVN","GGDEBT","TOT","PC_GDP","A","2012",61.6946,
"SVN","GGDEBT","TOT","PC_GDP","A","2013",78.8428,
"SVN","GGDEBT","TOT","PC_GDP","A","2014",99.27721,
"SVN","GGDEBT","TOT","PC_GDP","A","2015",102.3621,
"SVN","GGDEBT","TOT","PC_GDP","A","2016",97.1816,
"SVN","GGDEBT","TOT","PC_GDP","A","2017",88.24562,
"LVA","GGDEBT","TOT","PC_GDP","A","2000",14.49574,
"LVA","GGDEBT","TOT","PC_GDP","A","2001",15.87107,
"LVA","GGDEBT","TOT","PC_GDP","A","2002",15.8508,
"LVA","GGDEBT","TOT","PC_GDP","A","2003",16.84349,
"LVA","GGDEBT","TOT","PC_GDP","A","2004",17.67247,
"LVA","GGDEBT","TOT","PC_GDP","A","2005",14.63095,
"LVA","GGDEBT","TOT","PC_GDP","A","2006",14.56771,
"LVA","GGDEBT","TOT","PC_GDP","A","2007",12.81033,
"LVA","GGDEBT","TOT","PC_GDP","A","2008",22.89762,
"LVA","GGDEBT","TOT","PC_GDP","A","2009",41.61569,
"LVA","GGDEBT","TOT","PC_GDP","A","2010",53.1556,
"LVA","GGDEBT","TOT","PC_GDP","A","2011",47.50909,
"LVA","GGDEBT","TOT","PC_GDP","A","2012",45.71587,
"LVA","GGDEBT","TOT","PC_GDP","A","2013",43.43017,
"LVA","GGDEBT","TOT","PC_GDP","A","2014",45.83761,
"LVA","GGDEBT","TOT","PC_GDP","A","2015",41.0562,
"LVA","GGDEBT","TOT","PC_GDP","A","2016",49.09,
"LVA","GGDEBT","TOT","PC_GDP","A","2017",47.34944,
"LTU","GGDEBT","TOT","PC_GDP","A","2000",34.43554,
"LTU","GGDEBT","TOT","PC_GDP","A","2001",33.49996,
"LTU","GGDEBT","TOT","PC_GDP","A","2002",31.97919,
"LTU","GGDEBT","TOT","PC_GDP","A","2003",28.55857,
"LTU","GGDEBT","TOT","PC_GDP","A","2004",27.26694,
"LTU","GGDEBT","TOT","PC_GDP","A","2005",24.89683,
"LTU","GGDEBT","TOT","PC_GDP","A","2006",21.95204,
"LTU","GGDEBT","TOT","PC_GDP","A","2007",19.38458,
"LTU","GGDEBT","TOT","PC_GDP","A","2008",17.11739,
"LTU","GGDEBT","TOT","PC_GDP","A","2009",34.13206,
"LTU","GGDEBT","TOT","PC_GDP","A","2010",45.4694,
"LTU","GGDEBT","TOT","PC_GDP","A","2011",45.72603,
"LTU","GGDEBT","TOT","PC_GDP","A","2012",51.25673,
"LTU","GGDEBT","TOT","PC_GDP","A","2013",48.0004,
"LTU","GGDEBT","TOT","PC_GDP","A","2014",52.57693,
